1,1,1
2,2,8
3,3,4
4,4,14
5,4,5
6,4,2
7,5,7
8,5,8
9,6,1
10,7,15
11,8,11
12,9,3
13,9,6
14,10,6
15,11,2
16,12,11
17,13,8
18,14,18
19,15,18
20,16,5
21,17,17
22,18,7
23,19,11
24,20,18
25,21,6
26,22,8
27,23,7
28,24,18
29,25,12
30,26,16
31,27,15
32,28,16
33,29,18
34,30,2
35,31,3
36,32,9
37,33,14
38,34,6
39,35,15
40,36,5
41,37,12
42,38,15
43,39,15
44,40,9
45,41,5
46,42,13
47,43,13
48,44,9
49,45,10
50,46,6
51,47,4
52,48,4
53,49,10
54,50,2
55,51,7
56,52,11
57,53,13
58,54,9
59,55,6
60,56,15
61,57,1
62,58,13
63,59,8
64,60,6
65,61,3
66,62,6
67,63,5
68,64,16
69,65,2
70,66,7
71,67,8
72,68,1
