1,Action
2,Adventure
3,Fantasy
4,Animation
5,Drama
6,Horror
7,Comedy
8,History
9,Western
10,Thriller
11,Crime
12,Documentary
13,Science Fiction
14,Mystery
15,Music
16,Romance
17,Family
18,War
